"","StartAge","MatAge","DeathAge","PolicyCost","isEarlyDeath","GrossProfit"
"1",29,60,80,26375.7729182613,0,-213624.227081739
"2",27,60,65,23858.5741941828,0,-36141.4258058172
"3",40,60,93,46090.6109814258,0,-349909.389018574
"4",25,60,59,21586.579096464,1,21586.579096464
"5",31,60,69,29166.4308372293,0,-78833.5691627707
"6",32,60,73,30674.138324602,0,-125325.861675398
"7",36,60,87,37561.7922776187,0,-286438.207722381
"8",37,60,71,39524.46598779,0,-92475.53401221
"9",33,60,80,32262.692948038,0,-207737.307051962
"10",33,60,83,32262.692948038,0,-243737.307051962
"11",32,60,88,30674.138324602,0,-305325.861675398
"12",38,60,67,41595.5273390858,0,-42404.4726609142
"13",33,60,72,32262.692948038,0,-111737.307051962
"14",29,60,89,26375.7729182613,0,-321624.227081739
"15",26,60,82,22693.5934864521,0,-241306.406513548
"16",29,60,79,26375.7729182613,0,-201624.227081739
"17",36,60,85,37561.7922776187,0,-262438.207722381
"18",36,60,76,37561.7922776187,0,-154438.207722381
"19",37,60,80,39524.46598779,0,-200475.53401221
"20",27,60,78,23858.5741941828,0,-192141.425805817
"21",29,60,90,26375.7729182613,0,-333624.227081739
"22",33,60,74,32262.692948038,0,-135737.307051962
"23",32,60,77,30674.138324602,0,-173325.861675398
"24",26,60,75,22693.5934864521,0,-157306.406513548
"25",38,60,50,41595.5273390858,1,41595.5273390858
"26",29,60,46,26375.7729182613,1,26375.7729182613
"27",37,60,68,39524.46598779,0,-56475.53401221
"28",27,60,53,23858.5741941828,1,23858.5741941828
"29",26,60,74,22693.5934864521,0,-145306.406513548
"30",27,60,88,23858.5741941828,0,-312141.425805817
"31",36,60,70,37561.7922776187,0,-82438.2077223813
"32",33,60,87,32262.692948038,0,-291737.307051962
"33",31,60,39,29166.4308372293,1,29166.4308372293
"34",40,60,64,46090.6109814258,0,-1909.38901857419
"35",39,60,46,43781.6922550225,1,43781.6922550225
"36",40,60,87,46090.6109814258,0,-277909.389018574
"37",30,60,91,27735.0538552814,0,-344264.946144719
"38",28,60,85,25084.8662777387,0,-274915.133722261
"39",38,60,81,41595.5273390858,0,-210404.472660914
"40",35,60,85,35701.233109925,0,-264298.766890075
"41",27,60,83,23858.5741941828,0,-252141.425805817
"42",40,60,87,46090.6109814258,0,-277909.389018574
"43",33,60,64,32262.692948038,0,-15737.307051962
"44",25,60,85,21586.579096464,0,-278413.420903536
"45",34,60,80,33936.5730090924,0,-206063.426990908
"46",36,60,89,37561.7922776187,0,-310438.207722381
"47",34,60,87,33936.5730090924,0,-290063.426990908
