"","year","total_loss","ROI","invested","sold_policies","ROI_adjusted_profit"
"1",0,0,0,779576.230800396,3118304.92320158,3118304.92320158
"2",1,0,38978.8115400198,1619261.21687039,3202824.69811988,4021379.7404603
"3",2,0,80963.0608435193,2519890.26918077,3278663.96586747,4978888.24358137
"4",3,0,125994.513459039,3439849.24431441,3175857.84669841,5821742.62933822
"5",4,0,171992.462215721,4409412.53110811,3190283.29831191,6802125.00484205
"6",5,0,220470.626555406,5444306.18404788,3257692.10553743,7887575.26320095
"7",6,0,272215.309202394,6510585.96555346,3176257.88921277,8892779.38246305
"8",7,0,325529.298277673,7668459.48262148,3329376.87516136,10165492.1389925
"9",8,0,383422.974131074,8853576.71154758,3206777.01918011,11258659.4759327
"10",9,0,442678.835577379,10126504.4596113,3320995.64994535,12617251.1970703
"11",10,0,506325.222980565,11444555.212214,3246902.11848874,13879731.8010806
"12",11,0,572227.760610702,12843682.5703332,3307598.39003372,15324381.3628585
"13",12,0,642184.128516659,14290925.3527264,3220234.61550622,16706101.3143561
"14",13,0,714546.26763632,15804703.7206982,3196928.40134181,18202400.0217045
"15",14,0,790235.186034909,17395713.1172234,3203096.84196147,19798035.7486945
"16",15,0,869785.655861172,19055582.7159107,3160335.7713042,21425834.5443888
"17",16,0,952779.135795534,20814754.9770177,3225572.50124602,23233934.3529522
"18",17,0,1040737.74885089,22635278.8314539,3119144.42234116,24974637.1482098
"19",18,0,1131763.94157269,24580435.3340523,3253570.24410273,27020613.0171293
"20",19,0,1229021.76670261,26615650.6293699,3224774.11446015,29034231.215215
"21",20,0,1330782.5314685,28751750.4918576,3221269.32407684,31167702.4849153
"22",21,0,1437587.52459288,30999547.0880733,3240836.2864913,33430174.3029418
"23",22,3276000,1549977.35440367,33344419.2742959,3179579.32727549,32453103.7697525
"24",23,5880000,1667220.96371479,35822686.3516458,3244184.45454062,32375824.6925513
"25",24,7944000,1791134.31758229,38418449.966204,3218517.18790343,32888337.8571315
"26",25,13224000,1920922.4983102,41160307.943118,3283741.91441547,30399114.3789296
"27",26,19488000,2058015.3971559,44016819.7178633,3193985.51035735,26924308.8506313
"28",27,29088000,2200840.98589316,47030389.6889418,3250915.94074149,20380576.6444979
"29",28,37344000,2351519.48444709,50179787.476787,3191513.21359248,15229422.3869814
"30",29,49740000,2508989.37383935,53515365.9677615,3306356.4685406,6255133.31916697
"31",30,65568000,2675768.29838808,56995390.9213048,3217026.62062067,-6159839.11322971
"32",31,77556000,2849769.54606524,60685999.3514763,3363355.5364253,-14347483.9962047
"33",32,93276000,3034299.96757382,64529489.9710883,3236762.60815242,-26318938.0727974
"34",33,108552000,3226474.49855441,68567546.4415711,3246327.88771364,-37549707.6426437
"35",34,127680000,3428377.32207855,72836765.4749731,3363366.84529364,-52320709.3910567
"36",35,147744000,3641838.27374865,77296901.1234322,3273189.49884206,-67992206.7524362
"37",36,167304000,3864845.05617161,81953353.7719463,3166430.36936979,-82975823.4510264
"38",37,183672000,4097667.68859731,86852588.7600681,3206269.19809796,-94414709.3413584
"39",38,198936000,4342629.4380034,91996155.1094731,3203747.6456065,-104537034.156322
"40",39,214524000,4599807.75547366,97385780.8306395,3159271.86277086,-114768765.272282
"41",40,226812000,4869289.04153198,103083541.887075,3313888.05961609,-121243042.068212
"42",41,243348000,5154177.09435378,109053353.399188,3262537.67103686,-131847743.347534
"43",42,260064000,5452667.66995942,115338319.220795,3329192.60658801,-142228786.324264
"44",43,278652000,5766915.96103975,121879879.267054,3098576.34087872,-154448188.477287
"45",44,291876000,6093993.96335272,128760001.883003,3144514.61038243,-160757612.159211
"46",45,306432000,6438000.09415013,136022527.953047,3298103.90357734,-167935894.11927
"47",46,324708000,6801126.39765236,143603564.174656,3119639.29582463,-178764706.353476
"48",47,336480000,7180178.20873278,151622209.195727,3353867.24935537,-182342390.367256
"49",48,350088000,7581110.45978636,159982583.595377,3117055.75945456,-187767624.585032
"50",49,356160000,7999129.17976886,168785676.965962,3215856.76326182,-184962430.461592
"51",50,367836000,8439283.84829808,178024586.746026,3198503.72706573,-187412535.458675
"52",51,380736000,8901229.3373013,187710882.148248,3140264.25968347,-190669919.656989
"53",52,390060000,9385544.10741241,197902421.971723,3223982.86424985,-189739590.880089
"54",53,398400000,9895121.09858616,208610551.868289,3252035.19191838,-187350421.737772
"55",54,405624000,10430527.5934144,219833441.957692,3169449.98395476,-183413470.554342
"56",55,415272000,10991672.0978846,231647549.311341,3289741.02305688,-181157144.921367
"57",56,420444000,11582377.465567,244043212.930186,3253144.61311204,-173960928.60998
"58",57,427872000,12202160.6465093,257060013.450894,3258559.49679641,-168368066.926508
"59",58,430992000,12853000.6725447,270728575.4391,3262245.26264259,-157816740.613918
"60",59,432864000,13536428.771955,285061437.691805,3185733.92299979,-145413261.865946
"61",60,436536000,14253071.8845902,300134518.175332,3280034.39574737,-133941456.027858
"62",61,436296000,15006725.9087666,315918802.027449,3110231.77340473,-118044524.142497
"63",62,439908000,15795940.1013725,332524866.742575,3240498.45501186,-104952759.416166
"64",63,440904000,16626243.3371287,349958056.801654,3227786.88780099,-88525103.0324954
"65",64,447888000,17497902.8400827,368233803.724763,3111376.33210415,-77320664.0261593
"66",65,448824000,18411690.1862381,387502474.022314,3427920.44525167,-58750585.6437477
"67",66,452136000,19375123.7011157,407721850.836752,3377012.45328957,-41881389.8232812
"68",67,453216000,20386092.5418376,428917020.978015,3236310.39770515,-21871746.2237056
"69",68,452628000,21445851.0489008,451181009.193602,3272548.66674115,1007420.6936574
"70",69,453540000,22559050.4596801,474535376.966456,3181269.25269608,23381328.9059777
"71",70,452064000,23726768.8483228,499094372.966554,3328908.60710298,49527054.4218814
"72",71,452520000,24954718.6483277,524859101.638043,3240040.0926452,74769131.7075271
"73",72,453084000,26242955.0819022,551938849.389565,3347170.67847884,101365227.398424
"74",73,449628000,27596942.4694782,580324754.787845,3155851.71520626,133063643.57425
"75",74,450672000,29016237.7393922,610162661.99965,3286677.88965361,161955670.416891
